name,batch01_CHUV_P001,batch01_CHUV_P002,batch01_CHUV_P003,batch01_CHUV_P004,batch01_CHUV_P005,batch01_CHUV_P006,batch01_CHUV_P007,batch01_CHUV_P008,batch01_CHUV_P009,batch01_CHUV_P010,batch01_CHUV_P011,batch01_CHUV_P012,batch01_CHUV_P013,batch01_CHUV_P014,batch01_CHUV_P015,batch01_CHUV_P016,batch01_CHUV_P017,batch01_CHUV_P018,batch01_CHUV_P019,batch01_CHUV_P020,batch01_CHUV_P021,batch01_F_P001,batch01_F_P002,batch01_F_P003,batch01_F_P004,batch01_F_P005,batch01_F_P006,batch01_F_P007,batch01_F_P008,batch01_F_P009,batch01_F_P010,batch01_F_P011,batch01_F_P012,batch01_F_P013,batch01_F_P014,batch01_F_P015,batch01_F_P016,batch01_F_P017,batch01_F_P018,batch01_F_P019,batch01_F_P020,batch01_F_P021,batch01_M_P001,batch01_M_P002,batch01_M_P003,batch01_M_P004,batch01_M_P005,batch01_M_P006,batch01_M_P007,batch01_M_P008,batch01_M_P009,batch01_M_P010,batch01_M_P011,batch01_M_P012,batch01_M_P013,batch01_M_P014,batch01_M_P015,batch01_M_P016,batch01_M_P017,batch01_M_P018,batch01_M_P019,batch01_M_P020,batch01_M_P021,batch01_NAT_P001,batch01_NAT_P002,batch01_NAT_P003,batch01_NAT_P004,batch01_NAT_P005,batch01_NAT_P006,batch01_NAT_P007,batch01_NAT_P008,batch01_NAT_P009,batch01_NAT_P010,batch01_NAT_P011,batch01_NAT_P012,batch01_NAT_P013,batch01_NAT_P014,batch01_NAT_P015,batch01_NAT_P016,batch01_NAT_P017,batch01_NAT_P018,batch01_NAT_P019,batch01_NAT_P020,batch01_NAT_P021,batch01_QC001,batch01_QC002,batch01_QC003,batch01_QC004,batch01_QC005,batch01_QC006,batch01_QC007,batch01_QC008,batch01_QC009,batch01_QC010,batch01_QC011
CE(16:1)+H,356.638,1044.109,2925.431,634.276,1333.851,2070.386,290.031,3515.636,2269.164,3282.039,1565.719,1560.756,4779.313,5808.615,35943.549,6289.467,3368.257,1019.051,696.407,1708.712,253.821,815.133,126.538,180.938,2608.485,0,0,3066.975,855.637,730.461,0,0,622.052,0,2054.118,278.81,870.974,2302.935,3069.475,0,2659.83,1445.353,22186.738,3205.077,2613.313,11868.514,0,10668.956,0,0,189.562,0,4628.002,0,1353.69,819.488,952.006,5105.483,609.381,8959.993,0,0,518.33,1613.08,1396.952,1242.315,5078.979,677.276,5658.05,7409.726,3204.803,1358.298,30194.49,0,0,1372.547,1019.43,0,2246.784,390.561,590.791,356.828,416.364,976.756,681.58,204.899,1605.833,2212.065,2019.455,2673.906,1613.08,1339.828,988.966,383.968,1502.702
CE(18:1)+H,50961.965,28314.867,118743.777,40244.354,52605.354,48715.442,46545.304,99840.768,267282.647,38659.972,99838.987,43896.914,59878.07,90975.661,341252.199,127886.479,207325.525,22972.056,50174.106,33757.704,34162.45,15163.798,6392.009,4901.559,20693.606,6320.512,12920.165,24989.327,5292.869,6844.865,10928.328,21142.387,15854.201,8279.667,24839.565,6736.93,9316.362,10518.951,14477.039,12264.041,12074.108,11905.144,236042.944,64994.912,24496.011,218066.802,81800.843,213853.566,24891.123,61296.139,30060.764,40704.592,78090.063,50266.808,79130.684,89964.721,26997.124,63648.17,24458.135,106032.309,47248.138,38757.487,54797.405,31434.649,19248.763,8467.327,27542.929,31342.375,37301.209,75587.748,28800.332,21501.584,199782.008,23156.161,8846.707,16457.863,10581.551,16241.928,35137.759,28469.95,8797.189,8233.391,14140.707,11509.111,6879.016,16615.257,111005.434,17106.228,11072.326,17020.368,14948.155,16678.028,13715.183,11173.406,11343.019
CE(18:2)+H,120420.187,93732.805,295822.503,86992.748,141576.791,112874.548,122102.689,259312.73,578770.758,88479.49,264078.895,138183.389,159764.768,195505.965,805333.419,252440.478,432505.68,68568.009,98541.116,66309.561,105146.973,170912.349,53390.667,43774.785,168700.188,74993.234,138172.89,191634.038,101425.811,61598.684,91633.023,199349.637,160509.696,67826.796,216399.609,54149.105,71506.012,136042.726,157667.567,83596.919,105402.662,95628.384,766261.037,174076.093,75924.912,464914.425,199785.47,531442.48,57211.553,208569.103,79950.101,109265.367,122454.939,118711.684,294161.103,222282.848,63574.665,155922.474,50959.611,289092.415,165644.596,102877.919,136899.96,162056.549,134121.403,101995.259,162938.54,160919.505,381641.6,433687.402,240029.329,135054.727,1942130.211,139325.339,64101.434,91743.358,85632.657,116783.203,159504.936,202312.362,69173.919,63392.936,78640.46,62319.831,55643.866,142261.226,537364.421,104184.321,74517.17,131840.683,135914.073,133631.428,99697.935,56917.006,139743.393
CE(18:3)+H,46828.186,19897.211,59243.759,22502.09,32113.586,20029.96,27731.129,66726.952,134905.176,18771.555,63311.454,35360.113,32897.709,63291.375,220814.671,60607.823,113175.808,15186.107,27989.581,21034.412,21047.65,8293.286,2280.481,1389.372,7192.623,1962.238,4468.629,6793.57,6593.11,2124.859,4116.229,9455.183,7675.085,2022.198,9177.503,2155.329,2941.923,5446.805,8948.465,5034.355,5928.355,3810.155,285242.045,69705.112,40433.01,139236.92,72556.033,260461.521,23629.111,66771.009,41044.604,40430.537,75530.66,45781.277,71153.375,114958.761,22219.532,67773.741,31371.581,178130.629,57817.892,51917.359,64792.491,31704.281,5950.374,8713.812,23585.851,23420.355,62022.191,55721.448,27140.68,26222.77,337235.288,28580.306,13546.882,12382.831,8739.537,19097.949,20327.632,17603.099,6817.032,10243.495,8790.261,8009.108,3017.452,5160.753,20898.339,4460.348,4546.634,5652.693,7528.066,7357.372,4640.756,2248.541,6069.949
CE(20:3)+H,10300.752,4038.609,8916.828,2977.834,5766.715,6833.423,7409.341,13992.101,23276.971,7311.553,12654.344,9363.056,10102.329,15243.407,45283.483,20773.698,27633.96,4059.244,6184.898,4312.499,6012.306,6136.608,1329.887,1900.307,5785.477,2446.936,6821.557,2210.044,1401.468,1334.687,3594.826,7734.086,4370.845,1621.813,9654.373,902.974,2696.613,6341.898,3984.628,3083.575,1902.548,2359.985,34208.43,5138.011,6695.834,30867.955,13333.374,21528.309,2909.456,13982.459,6969.631,4565.342,10651.631,8957.345,14867.495,18984.185,4970.357,7211.015,2512.549,23267.905,2365.787,2828.707,12738.045,6712.174,7198.598,2350.486,12205.717,4786.909,16952.256,10316.831,11609.646,10309.361,97900.623,8336.722,4791.587,4336.88,1769.443,3702.291,1177.91,5698.435,1227.301,1806.108,3238.857,2501.172,1333.062,3740.372,14429.834,3639.987,2163.734,6414.567,6912.457,5928.376,2840.039,2478.788,6673.581
CE(20:4)+H,24205.022,12887.131,47294.847,16229.955,21458.686,21303.026,13769.875,46183.486,99986.816,19352.513,48571.175,22763.183,22593.339,43691.602,133379.651,41284.305,76782.13,11579.353,17784.965,11666.767,9249.875,29920.735,8632.921,8549.533,21217.643,12241.569,25889.03,31180.295,22349.506,11935.125,20194.164,35521.269,20796.276,10919.648,37163.647,11726.492,14348.203,20819.659,34468.112,11882.993,17705.848,17740.306,108426.8,16390.5,21831.417,52425.636,43150.403,124207.785,15821.223,35303.542,12435.703,16116.269,32363.332,27512.692,19199.192,34281.967,9178.178,18721.473,10708.824,55984.348,25431.862,19185.129,24757.324,32376.057,23157.451,25041.905,47227.588,21653.048,83871.975,83198.647,43539.192,30526.699,321569.997,34912.123,22646.914,18078.094,14174.175,23596.289,28993.506,27224.557,16087.88,14993.704,23284.277,15652.589,12882.051,25952.061,128618.279,21962.094,19606.425,31449.147,32178.596,37003.569,23202.161,16599.644,40318.302
CE(22:5)+H,14311.236,9786.285,23986.414,5840.486,11902.082,10226.982,11090.813,17633.06,39168.672,10862.504,15471.964,6054.701,14414.597,15055.361,51993.306,17487.888,48018.141,5429.795,11571.243,5714.251,7304.632,2858.231,784.15,87.258,2150.5,1177.023,597.184,5364.886,207.731,283.982,1142.895,1608.16,1423.96,367.363,997.334,829.639,231.482,1886.112,1274.448,666.083,229.057,1178.033,53729.564,19195.444,10965.227,22360.093,12957.923,50341.73,3320.899,17207.29,6156.246,7354.789,2443.742,11319.144,38107.669,20268.429,4136.003,6431.275,3204.525,40791.3,10574.652,11193.134,10647.658,4289.941,2942.365,1134.302,2166.416,2366.658,9375.337,7366.281,3792.679,6722.185,47796.527,4984.776,671.87,1839.464,1479.522,2532.734,5703.049,3337.676,1943.402,1453.31,2169.744,1057.847,0.1,162.848,5236.149,1143.13,225.421,356.79,1364.324,679.165,1610.879,639.501,1170.869
CE(22:6)+H,9858.646,6873.768,23352.408,6740.962,11545.692,12206.172,12168.877,20233.665,57113.24,12272.96,30398.137,12404.203,12018.932,22801.743,100156.705,26988.362,54763.078,5764.538,12877.46,9857.354,8396.613,3955.46,662.547,1152.467,3629.849,1316.625,4137.962,1158.503,2149.295,602.475,2144.25,5317.828,4172.543,954.207,2331.318,595.82,1149.837,2850.949,4051.228,244.297,2720.16,1410.345,145341.903,26857.823,19873.111,75705.269,25320.62,86120.872,11474.329,31990.293,16650.687,28296.773,32400.346,30739.404,69209.37,52552.676,12358.961,33175.117,17986.034,73495.485,37693.175,18894.395,41319.848,10712.126,10274.472,4277.565,15132.995,6524.806,22657.701,34476.58,11161.645,5670.303,143347.535,9340.158,5977.891,5082.498,4977.535,10070.737,10866.993,12892.818,6183.236,4102.105,4832.896,3147.77,792.028,2444.234,18462.67,3973.362,3171.908,340.706,3244.77,2927.894,2738.174,1290.759,2624.875
CER(16:0)+H,38.783,51.092,38.911,41.498,39.6,47.154,42.901,32.652,36.895,32.158,36.648,35.6,43.252,31.686,45.647,42.21,35.77,39.232,35.471,34.687,45.67,39.454,35.655,40.24,38.209,33.053,36.467,41.059,47.325,41.998,32.959,27.532,47.63,44.584,38.931,37.564,38.078,30.37,32.967,36.742,38.621,35.38,45.342,48.15,47.298,41.275,51.746,43.19,50.887,46.767,45.316,43.382,46.219,43.429,51.185,45.581,55.77,43.426,41.669,47.964,41.871,43.06,45.523,43.442,38.234,32.463,29.737,38.404,43.215,36.322,31.903,32.762,37.25,40.136,29.218,44.833,31.309,35.595,30.544,38.988,35.105,40.825,35.827,39.44,34.488,41.307,39.196,36.63,30.545,34.445,40.965,35.954,36.591,41.403,38.648
CER(18:0)+H,5.602,4.371,7.348,6.945,9.345,6.989,8.505,6.762,5.438,7.509,5.911,11.69,8.465,8.245,6.493,7.929,9.636,7.091,8.585,5.721,5.476,11.457,5.997,8.63,12.932,8.939,9.089,12.066,9.98,7.603,8.905,11.36,7.729,10.904,8.923,11.001,12.262,10.183,7.963,11.483,9.276,12.673,15.526,17.455,16.092,18.439,17.305,14.903,14.282,17.758,13.911,15.265,18.923,13.187,19.814,14.424,15.395,17.282,16.871,15.411,10.909,17.631,16.725,9.815,16.307,14.602,11.825,9.959,9.368,13.481,11.534,14.933,9.08,11.557,18.349,12.792,9.92,11.913,10.28,9.003,13.166,12.344,7.375,10.208,10.637,5.555,15.135,11.75,13.861,13.665,12.376,15.263,13.054,11.938,13.981
