name,batch01_CHUV_P001,batch01_CHUV_P002,batch01_CHUV_P003,batch01_CHUV_P004,batch01_CHUV_P005,batch01_CHUV_P006,batch01_CHUV_P007,batch01_CHUV_P008,batch01_CHUV_P009,batch01_CHUV_P010,batch01_CHUV_P011,batch01_CHUV_P012,batch01_CHUV_P013,batch01_CHUV_P014,batch01_CHUV_P015,batch01_CHUV_P016,batch01_CHUV_P017,batch01_CHUV_P018,batch01_CHUV_P019,batch01_CHUV_P020,batch01_CHUV_P021,batch01_F_P001,batch01_F_P002,batch01_F_P003,batch01_F_P004,batch01_F_P005,batch01_F_P006,batch01_F_P007,batch01_F_P008,batch01_F_P009,batch01_F_P010,batch01_F_P011,batch01_F_P012,batch01_F_P013,batch01_F_P014,batch01_F_P015,batch01_F_P016,batch01_F_P017,batch01_F_P018,batch01_F_P019,batch01_F_P020,batch01_F_P021,batch01_M_P001,batch01_M_P002,batch01_M_P003,batch01_M_P004,batch01_M_P005,batch01_M_P006,batch01_M_P007,batch01_M_P008,batch01_M_P009,batch01_M_P010,batch01_M_P011,batch01_M_P012,batch01_M_P013,batch01_M_P014,batch01_M_P015,batch01_M_P016,batch01_M_P017,batch01_M_P018,batch01_M_P019,batch01_M_P020,batch01_M_P021,batch01_NAT_P001,batch01_NAT_P002,batch01_NAT_P003,batch01_NAT_P004,batch01_NAT_P005,batch01_NAT_P006,batch01_NAT_P007,batch01_NAT_P008,batch01_NAT_P009,batch01_NAT_P010,batch01_NAT_P011,batch01_NAT_P012,batch01_NAT_P013,batch01_NAT_P014,batch01_NAT_P015,batch01_NAT_P016,batch01_NAT_P017,batch01_NAT_P018,batch01_NAT_P019,batch01_NAT_P020,batch01_NAT_P021,batch01_QC001,batch01_QC002,batch01_QC003,batch01_QC004,batch01_QC005,batch01_QC006,batch01_QC007,batch01_QC008,batch01_QC009,batch01_QC010,batch01_QC011
CE(16:1)+H,2738.597,2835.008,923.741,1841.471,1028.764,8162.243,2026.725,2008.421,2933.957,2417.346,2650.808,622.9,1130.924,1372.209,1218.841,1489.994,2202.943,1356.348,361.151,661.86,5047.978,799.581,772.114,463.004,2032.953,0.1,0.1,1048.092,0.1,1735.837,473.743,488.465,253.064,1513.197,4987.985,1446.628,714.927,1672.241,375.707,417.536,288.766,616.163,1802.686,4456.263,716.229,1339.688,7759.916,1798.738,3383.921,2635.248,0.1,640.37,955.956,1279.979,1611.67,7292.541,872.841,243.862,767.43,0.1,11625.657,5165.377,0.1,946.409,1024.487,744.888,965.949,1156.025,1054.889,1369.92,1626.209,1029.833,3884.91,1710.87,534.457,3128.703,424.688,1143.322,2326.152,986.853,622.922,2194.754,2278.584,852.393,476.714,2229.72,1131.568,938.813,1538.527,1649.121,2201.042,1496.476,1342.24,1270.97,1988.534
CE(18:1)+H,67852.564,34041.296,24626.867,53669.455,116954.42,117083.692,26897.21,39106.984,53107.696,22311.21,48674.669,65177.688,30785.251,28475.94,36094.993,26803.274,34210.802,29998.758,32781.506,30503.537,77904.082,13214.323,10834.343,12500.138,22561.002,16157.453,17127.615,12954.198,45755.076,8825.616,11252.502,14359.273,5707.183,9979.563,32456.775,13391.433,7151.012,32174.094,11744.587,8405.826,11952.623,7414.943,33515.544,48992.156,25898.393,38456.704,121663.498,38529.246,46695.861,44568.065,26458.571,26916.707,28665.872,44418.801,46027.494,34481.538,62172.05,25344.375,34097.364,179855.824,74002.231,59537.133,153207.816,14308.268,30846.768,18633.347,29890.077,15026.488,19511.794,15591.219,39876.971,12140.105,67260.5,11532.211,13774.205,31142.309,16429.767,13004.509,11630.848,10983.879,27689.147,13545.919,41041.083,24222.007,12388.015,23006.64,16260.07,14384.183,14603.91,16953.814,32682.983,24024.966,25461.664,21324.292,22103.83
CE(18:2)+H,199834.323,108699.598,76902.989,149816.009,328668.315,409673.87,91474.122,100222.67,134423.851,71420.354,136773.239,189975.185,99771.329,103420.656,109515.033,117618.688,107086.521,90724.655,102979.807,87999.672,191884.489,134297.701,149648.365,109649.307,215059.546,143312.378,144379.618,101594.942,348315.479,109872.187,90291.836,169482.114,72091.122,96897.798,283942.824,108019.322,95826.951,241536.704,95875.169,68115.511,106134.102,87523.906,138699.944,131958.809,88739.339,105330.615,450001.618,155081.757,148934.717,164971.876,147175.092,100738.368,85132.265,99820.17,166577.019,139075.585,171377.193,92912.8,123432.11,814496.861,234379.058,205126.218,420699.994,102541.434,152810.31,125534.242,181587.574,101509.483,103445.483,101713.859,299328.29,116274.807,377631.241,89727.687,99946.997,191103.401,117232.449,108432.37,78871.705,76100.256,183810.12,91651.269,236186.413,159395.629,83139.565,143272.347,107134.342,109886.252,115679.616,124156.131,205430.031,183134.592,153989.07,200857.385,144147.034
CE(18:3)+H,44272.631,27070.298,16748.125,38632.649,87561.915,102638.543,24582.54,25563.199,37612.82,22619.124,37281.22,42660.097,21559.966,23261.819,24411.756,26757.785,32530.513,20703.219,23721.625,21872.721,41779.365,5717.129,10003.081,2770.849,6499.057,6958.714,6342.025,4763.437,10699.735,3055.654,4350.073,6397.454,2226.567,2641.124,10415.474,4400.978,2792.359,8692.978,6165.514,3070.904,3927.647,5026.931,47200.507,39716.886,22371.24,43893.292,143659.246,48530.762,74402.105,59581.846,41793.571,33497.625,24283.971,45554.033,57255.47,56096.898,58151.768,36220.194,70180.356,290325.565,87031.935,106924.111,177204.234,12089.693,20556.085,16092.781,21310.92,13674.997,12453.633,15537.465,31325.884,14303.754,62315.835,15709.123,13929.079,31992.133,12937.978,11618.894,9460.67,10336.6,26802.04,10830.796,41020.025,22560.068,4179.062,7555.748,5220.127,6061.032,6878.797,6395.498,10045.903,10021.429,7874.188,10876.564,11361.582
CE(20:3)+H,3730.519,3695.407,4020.256,7117.425,24429.393,24241.953,4562.298,8037.069,9470.592,3571.015,5133.781,9652.403,7113.269,8420.949,7305.574,7140.485,5237.41,4352.353,6375.861,4766.011,13965.615,2566.249,4103.897,4062.376,5587.132,5034.262,3354.554,2066.859,9284.92,3266.499,2169.931,3612.17,2510.239,1736.987,7512.319,4410.136,2463.316,3580.302,2600.725,3276.858,3404.522,3039.306,5566.952,6038.831,4919.415,3436.451,8676.905,15840.009,7252.054,10040.13,3682.268,7284.25,4571.565,6570.704,10483.97,10694.367,5712.338,6980.427,15414.979,52652.77,22950.443,11154.029,43114.027,1543.365,5568.393,5885.969,4578.15,4606.197,3087.006,3454.468,9685.253,4716.162,15380.854,4372.568,2437.054,8758.759,2747.09,1914.835,2614.184,1700.718,8933.997,4422.795,7053.96,3100.732,1492.868,4822.162,5288.644,3005.057,3934.989,5111.026,9900.856,6176.245,4177.206,7343.379,4958.852
CE(20:4)+H,26496.366,16292.688,13866.498,24240.714,58239.201,54005.566,18773.332,21493.656,28906.534,11982.733,17178.67,30675.287,14176.296,15798.179,19504.013,13501.518,21537.807,16233.248,14143.563,12361.645,34715.969,23036.109,24202.084,16702.568,37593.004,26194.994,22919.311,19744.003,54946.474,17677.472,13197.109,26665.518,7885.994,16853.079,43450.587,20490.45,19522.175,40729.621,22454.74,12858.758,14912.573,13298.057,26402.586,16376.722,14855.48,22170.91,97613.538,21472.368,24026.26,29504.681,16520.992,13519.067,9067.485,18139.202,17831.392,20093.241,32253.877,14760.225,21534.413,139562.042,25599.85,32991.406,91976.148,21753.246,29902.479,24536.551,32414.94,17494.869,19746.254,26122.519,62880.017,23480.163,93500.61,16089.006,20654.033,43511.322,24998.716,22418.138,18839.492,20711.396,31230.2,17234.533,38178.445,32746.002,20668.458,34954.146,24115.599,20950.776,32952.451,32189.158,51312.86,34580.535,33312.055,46733.287,36263.989
CE(22:5)+H,12975.44,8105.972,7119.022,15671.571,29856.217,27897.906,6964.442,7728.781,11213.033,6020.857,11615.905,8103.78,7861.63,6337.153,8876.793,8073.241,8113.205,8635.836,7103.555,7944.791,19423.088,2006.503,660.173,546.359,1704.096,1781.429,598.572,764.213,5041.336,699.923,317.128,732.015,349.161,342.588,3714.344,1724.022,1547.62,4155.844,725.156,980.45,991.256,750.506,14487.795,9229.214,6016.018,6464.457,37558.9,11845.269,7912.177,13922.892,11315.195,3604.243,7174.463,5919.938,14972.423,9885.228,14009.964,4526.356,5501.823,37327.632,19144.529,15889.683,39262.805,2520.578,3867.278,3004.934,5709.17,3840.76,2049.336,3026.546,6733.011,3187.137,13377.196,2868.462,3012.981,6600.203,2944.804,3044.164,2696.008,832.222,4208.671,172.088,5791.069,4016.501,271.756,767.735,998.33,839.377,951.883,1844.885,128.155,562.792,654.212,2061.033,756.848
CE(22:6)+H,22272.865,8448.885,7402.523,21498.999,41221.02,39614.924,10211.331,10618.173,14277.428,6405.385,11768.341,14705.251,11691.707,10388.87,14884.213,12097.999,9947.093,8559.64,9767.74,11095.026,22053.085,1444.169,1063.389,1681.335,1310.093,1529.437,4123.867,1534.358,2517.578,1959.918,2074.461,1496.247,677.153,1476.508,2888.66,2259.339,1393.943,4651.016,959.227,1097.33,993.271,2176.125,20133.314,23892.152,13135.707,20194.758,53541.523,25372.822,23530.57,25184.012,22876.061,18166.489,13946.896,14111.568,33621.985,26205.396,36680.15,15065.833,27050.673,176243.135,45296.607,37213.956,83358.248,6786.038,17717.757,11697.683,18413.454,9951.391,12181.678,11592.27,36656.944,15047.821,44237.542,9241.153,10995.092,26801.564,11898.971,12536.669,9237.334,7226.524,19788.444,10986.833,26697.669,19835.675,2493.582,3962.227,1649.234,2900.479,2293.418,2159.869,4013.387,5407.228,4562.512,7533.983,5430.177
CER(16:0)+H,41.582,42.542,43.407,42.337,38.17,38.193,39.829,34.982,40.699,44.671,38.861,30.937,44.044,40.482,38.907,43.061,32.82,38.732,44.017,36.115,36.203,45.132,40.904,31.547,43.128,42.593,32.595,35.735,43.466,36.844,35.88,35.47,41.421,32.676,36.846,40.537,39.213,37.364,34.027,40.426,35.287,46.143,39.461,41.499,47.401,47.946,45.089,45.908,46.044,47.265,41.991,48.427,45.09,45.609,42.549,48.243,41.911,48.544,42.795,45.98,49.699,50.406,47.059,54.471,62.057,52.414,48.603,47.329,45.671,44.849,57.211,56.908,53.027,53.731,47.32,44.57,47.612,45.812,50.125,55.56,47.041,48.809,47.427,48.77,37.516,38.594,36.739,44.847,43.591,38.53,44.303,48.444,37.309,35.981,39.519
CER(18:0)+H,9.443,9.868,7.527,7.427,7.923,6.866,5.596,6.224,7.47,3.236,7.724,4.628,7.141,5.895,6.638,7.153,9.146,5.689,6.719,3.863,6.808,8.637,8.984,6.936,6.28,9.545,7.674,8.357,10.918,10.094,7.157,6.122,11.765,8.106,10.748,10.505,10.351,8.504,10.127,8.391,10.42,10.774,18.864,15.798,12.697,15.752,17.842,15.722,16.493,13.914,14.111,13.85,13.991,18.87,15.522,20.003,17.954,17.56,15.11,12.413,15.864,17.238,13.666,16.098,15.464,12.334,13.721,14.661,13.913,19.151,16.5,15.878,14.727,11.869,19.333,9.9,15.552,13.151,15.463,13.914,16.791,14.391,18.764,12.43,9.456,15.509,11.864,15.499,10.912,9.956,10.573,14.529,12.886,9.604,11.126
