sample,batch,class,order
batch01_CHUV_P001,1,CHUV,7
batch01_CHUV_P002,1,CHUV,11
batch01_CHUV_P003,1,CHUV,15
batch01_CHUV_P004,1,CHUV,20
batch01_CHUV_P005,1,CHUV,24
batch01_CHUV_P006,1,CHUV,28
batch01_CHUV_P007,1,CHUV,33
batch01_CHUV_P008,1,CHUV,37
batch01_CHUV_P009,1,CHUV,41
batch01_CHUV_P010,1,CHUV,46
batch01_CHUV_P011,1,CHUV,50
batch01_CHUV_P012,1,CHUV,54
batch01_CHUV_P013,1,CHUV,59
batch01_CHUV_P014,1,CHUV,63
batch01_CHUV_P015,1,CHUV,67
batch01_CHUV_P016,1,CHUV,72
batch01_CHUV_P017,1,CHUV,76
batch01_CHUV_P018,1,CHUV,80
batch01_CHUV_P019,1,CHUV,85
batch01_CHUV_P020,1,CHUV,89
batch01_CHUV_P021,1,CHUV,93
batch01_F_P001,1,F,5
batch01_F_P002,1,F,9
batch01_F_P003,1,F,13
batch01_F_P004,1,F,18
batch01_F_P005,1,F,22
batch01_F_P006,1,F,26
batch01_F_P007,1,F,31
batch01_F_P008,1,F,35
batch01_F_P009,1,F,39
batch01_F_P010,1,F,44
batch01_F_P011,1,F,48
batch01_F_P012,1,F,52
batch01_F_P013,1,F,57
batch01_F_P014,1,F,61
batch01_F_P015,1,F,65
batch01_F_P016,1,F,70
batch01_F_P017,1,F,74
batch01_F_P018,1,F,78
batch01_F_P019,1,F,83
batch01_F_P020,1,F,87
batch01_F_P021,1,F,91
batch01_M_P001,1,M,4
batch01_M_P002,1,M,8
batch01_M_P003,1,M,12
batch01_M_P004,1,M,17
batch01_M_P005,1,M,21
batch01_M_P006,1,M,25
batch01_M_P007,1,M,30
batch01_M_P008,1,M,34
batch01_M_P009,1,M,38
batch01_M_P010,1,M,43
batch01_M_P011,1,M,47
batch01_M_P012,1,M,51
batch01_M_P013,1,M,56
batch01_M_P014,1,M,60
batch01_M_P015,1,M,64
batch01_M_P016,1,M,69
batch01_M_P017,1,M,73
batch01_M_P018,1,M,77
batch01_M_P019,1,M,82
batch01_M_P020,1,M,86
batch01_M_P021,1,M,90
batch01_NAT_P001,1,NAT,6
batch01_NAT_P002,1,NAT,10
batch01_NAT_P003,1,NAT,14
batch01_NAT_P004,1,NAT,19
batch01_NAT_P005,1,NAT,23
batch01_NAT_P006,1,NAT,27
batch01_NAT_P007,1,NAT,32
batch01_NAT_P008,1,NAT,36
batch01_NAT_P009,1,NAT,40
batch01_NAT_P010,1,NAT,45
batch01_NAT_P011,1,NAT,49
batch01_NAT_P012,1,NAT,53
batch01_NAT_P013,1,NAT,58
batch01_NAT_P014,1,NAT,62
batch01_NAT_P015,1,NAT,66
batch01_NAT_P016,1,NAT,71
batch01_NAT_P017,1,NAT,75
batch01_NAT_P018,1,NAT,79
batch01_NAT_P019,1,NAT,84
batch01_NAT_P020,1,NAT,88
batch01_NAT_P021,1,NAT,92
batch01_QC001,1,NA,1
batch01_QC002,1,NA,2
batch01_QC003,1,NA,3
batch01_QC004,1,NA,16
batch01_QC005,1,NA,29
batch01_QC006,1,NA,42
batch01_QC007,1,NA,55
batch01_QC008,1,NA,68
batch01_QC009,1,NA,81
batch01_QC010,1,NA,94
batch01_QC011,1,NA,95
