,RSD,
CE.18.1..H,0.573312,57.3312
CE.18.2..H,0.497006,49.7006
CE.18.3..H,0.464982,46.4982
CE.20.3..H,0.463129,46.3129
CE.20.4..H,0.502645,50.2645
CE.22.5..H,0.727445,72.7445
CE.22.6..H,0.669713,66.9713
CER.16.0..H,0.061605,6.1605
CER.18.0..H,0.159117,15.9117
CER.20.0..H,0.094182,9.4182
CER.22.0..H,0.034635,3.4635
CER.22.1..H,0.053369,5.3369
CER.24.0..H,0.040696,4.0696
CER.24.1..H,0.056065,5.6065
CER.26.0..H,0.293489,29.3489
CER.26.1..H,0.253531,25.3531
Cer.d16.1_22.0.,0.136528,13.6528
Cer.d16.1_23.0.,0.175739,17.5739
Cer.d16.1_24.0.,0.096564,9.6564
Cer.d17.1_24.0.,0.093241,9.3241
Cer.d17.1_24.1.,0.179958,17.9958
Cer.d18.2_16.0.,0.154979,15.4979
Cer.d18.2_20.0.,0.302031,30.2031
Cer.d18.2_22.0.,0.14149,14.149
Cer.d18.2_23.0.,0.163701,16.3701
Cer.d18.2_24.0.,0.051271,5.1271
Cer.d18.2_24.1.,0.060636,6.0636
Cer.d19.1_22.0.,0.261626,26.1626
Cer.d19.1_23.0.,0.136779,13.6779
Cer.d19.1_24.0.,0.064394,6.4394
Cer.d19.1_24.1.,0.128046,12.8046
Cer.d20.1_24.0.,0.228694,22.8694
DAG.16.0_17.0..NH4,0.151061,15.1061
DAG.16.0_18.2..NH4,0.491116,49.1116
DAG.16.1_16.1..NH4,0.143951,14.3951
DAG.16.1_17.0..NH4,0.22329,22.329
DAG.18.1_18.1..NH4,0.419945,41.9945
DAG.18.2_18.2..NH4,0.387361,38.7361
DAG.18.2_20.4..NH4,0.382403,38.2403
DAG.20.0_20.3..NH4,0.331409,33.1409
DAG.20.0_20.4..NH4,0.251945,25.1945
DAG.20.0_22.5..NH4,0.291802,29.1802
DAG.20.0_22.6..NH4,0.355752,35.5752
DCER.22.0..H,0.273367,27.3367
DCER.22.1..H,0.059855,5.9855
DCER.24.0..H,0.139043,13.9043
DCER.24.1..H,0.243946,24.3946
HCER.16.0.,0.021099,2.1099
HCER.18.0.,0.043775,4.3775
HCER.18.1.,0.140613,14.0613
HCER.20.0.,0.045323,4.5323
HCER.20.1.,0.188641,18.8641
HCER.22.0.,0.021623,2.1623
HCER.22.1.,0.095533,9.5533
HCER.24.0.,0.030071,3.0071
HCER.24.1.,0.025321,2.5321
HCER.26.0.,0.117309,11.7309
