"","RSD"
"CE.16.1..H",0.242779
"CE.18.1..H",0.162795
"CE.18.2..H",0.136462
"CE.18.3..H",0.13215
"CE.20.3..H",0.273422
"CE.20.4..H",0.169001
"CE.22.5..H",0.448016
"CE.22.6..H",0.200389
"CER.16.0..H",0.055648
"CER.18.0..H",0.132479
"CER.20.0..H",0.065267
"CER.22.0..H",0.044747
"CER.22.1..H",0.110486
"CER.24.0..H",0.038408
"CER.24.1..H",0.040666
"CER.26.0..H",0.24583
"CER.26.1..H",0.191434
"Cer.d16.1_22.0.",0.090891
"Cer.d16.1_23.0.",0.174449
"Cer.d16.1_24.0.",0.05113
"Cer.d17.1_24.0.",0.121566
"Cer.d17.1_24.1.",0.251226
"Cer.d18.2_16.0.",0.182894
"Cer.d18.2_20.0.",0.227969
"Cer.d18.2_22.0.",0.068119
"Cer.d18.2_23.0.",0.144388
"Cer.d18.2_24.0.",0.041961
"Cer.d18.2_24.1.",0.098799
"Cer.d19.1_22.0.",0.273346
"Cer.d19.1_23.0.",0.141402
"Cer.d19.1_24.0.",0.074213
"Cer.d19.1_24.1.",0.119308
"Cer.d20.1_24.0.",0.194825
"DAG.16.0_17.0..NH4",0.340448
"DAG.16.0_18.2..NH4",0.371178
"DAG.16.1_16.1..NH4",0.226732
"DAG.16.1_17.0..NH4",0.28977
"DAG.18.1_18.1..NH4",0.268397
"DAG.18.2_18.2..NH4",0.285089
"DAG.18.2_20.4..NH4",0.268343
"DAG.20.0_20.3..NH4",0.260621
"DAG.20.0_20.4..NH4",0.130217
"DAG.20.0_22.5..NH4",0.509563
"DAG.20.0_22.6..NH4",0.06871
"DCER.22.0..H",0.117479
"DCER.22.1..H",0.067029
"DCER.24.0..H",0.114243
"DCER.24.1..H",0.106187
"HCER.16.0.",0.017346
"HCER.18.0.",0.052113
"HCER.18.1.",0.080705
"HCER.20.0.",0.044593
"HCER.20.1.",0.152244
"HCER.22.0.",0.011618
"HCER.22.1.",0.060035
"HCER.24.0.",0.01052
"HCER.24.1.",0.009755
"HCER.26.0.",0.184792
"HCER.26.1.",0.12088
"HCER.d18.0_22.0.",0.043403
"HCER.d18.0_24.0.",0.077954
"HCER.d18.0_24.1.",0.070979
"HexCer.d16.1_18.0.",0.080774
"HexCer.d16.1_22.0.",0.062431
"HexCer.d16.1_24.0.",0.034136
"HexCer.d18.2_20.0.",0.073603
"HexCer.d18.2_22.0.",0.044158
"HexCer.d18.2_24.0.",0.036487
"LCER.14.0..H",0.043549
"LCER.16.0..H",0.022137
"LCER.18.0..H",0.051767
"LCER.18.1..H",0.04322
"LCER.20.0..H",0.058643
"LCER.20.1..H",0.21356
"LCER.22.0..H",0.030255
"LCER.22.1..H",0.053461
"LCER.24.0..H",0.026646
"LCER.24.1..H",0.013727
"LCER.24.2..H",0.025805
"LCER.26.1..H",0.136423
"LCER.d18.0_22.0..H.H2O",0.202928
"LCER.d18.0_24.0..H.H2O",0.235046
"LPC.O.16.0.",0.009468
"LPC.O.18.0.",0.013498
"LPC.O.20.0.",0.0093
"LPC.O.20.1.",0.009989
"LPC.O.22.0.",0.01157
"LPC.P.16.0.",0.00912
"LPC.P.17.0.",0.015003
"LPC.P.18.0.",0.015235
"LPC.P.18.1.",0.018189
"MAG..14.0..Na",0.20389
"MAG..15.0..Na",0.13265
"MAG..16.0..Na",0.149268
"MAG..18.0..Na",0.151338
"MAG..18.1..Na",0.168418
"MAG..18.2..Na",0.176556
"MAG..18.3..Na",0.144088
"MAG..19.0..Na",0.164038
"MAG..20.0..Na",0.132471
"MAG..20.1..Na",0.139519
"MAG..20.5..Na",0.157377
"MAG..22.4..Na",0.144083
"MAG..22.5..Na",0.157852
"MAG..22.6..Na",0.151392
"PE.CER.d16.1.16.0.",0.284191
"PE.Cer.d16.1.18.0.",0.237164
"PE.Cer.d16.1.20.0.",0.115741
"PE.Cer.d16.1.22.0.",0.093459
"PE.Cer.d16.1.24.0.",0.052832
"PE.Cer.d16.1.24.1.",0.219011
"SM.31.1..H",0.014613
"SM.32.0..H",0.016148
"SM.32.1..H",0.011438
"SM.33.1..H",0.01509
"SM.34.0..H",0.010316
"SM.34.1..H",0.01214
"SM.34.2..H",0.013834
"SM.34.3..H",0.02206
"SM.35.1..H",0.010872
"SM.35.2..H",0.010723
"SM.36.1..H",0.009947
"SM.36.2..H",0.009927
"SM.36.3..H",0.013696
"SM.37.1..H",0.013356
"SM.37.2..H",0.011091
"SM.38.1..H",0.00947
"SM.38.2..H",0.011697
"SM.38.3..H",0.008384
"SM.39.1..H",0.012703
"SM.40.0..H",0.010362
"SM.40.1..H",0.007946
"SM.40.2..H",0.009183
"SM.40.3..H",0.012875
"SM.41.1..H",0.009779
"SM.41.2..H",0.008024
"SM.42.1..H",0.00811
"SM.42.2..H",0.009534
"SM.43.2..H",0.008881
"SM.44.1..H",0.007968
"SM.44.2..H",0.0104
"SM.44.3..H",0.015395
"TAG.42.1_FA16.1..NH4",0.460906
"TAG.44.0_FA16.0..NH4",0.071105
"TAG.44.0_FA18.0..NH4",0.215745
"TAG.44.1_FA16.1..NH4",0.135011
"TAG.44.1_FA18.1..NH4",0.147581
"TAG.44.2_FA18.1..NH4",0.207508
"TAG.44.3_FA18.2..NH4",0.299438
"TAG.45.0_FA16.0..NH4",0.314569
"TAG.45.1_FA16.0..NH4",0.254555
"TAG.45.1_FA18.1..NH4",0.225959
"TAG.46.0_FA14.0..NH4",0.046555
"TAG.46.0_FA16.0..NH4",0.04705
"TAG.46.0_FA18.0..NH4",0.06427
"TAG.46.1_FA14.0..NH4",0.058297
"TAG.46.1_FA16.0..NH4",0.058914
"TAG.46.1_FA16.1..NH4",0.055814
"TAG.46.1_FA18.0..NH4",0.108726
"TAG.46.1_FA18.1..NH4",0.070387
"TAG.46.2_FA14.0..NH4",0.049567
"TAG.46.2_FA16.0..NH4",0.058346
"TAG.46.2_FA16.1..NH4",0.074354
"TAG.46.2_FA18.1..NH4",0.071429
"TAG.46.2_FA18.2..NH4",0.082807
"TAG.46.3_FA16.0..NH4",0.227719
"TAG.46.3_FA16.1..NH4",0.09937
"TAG.46.3_FA18.2..NH4",0.140992
"TAG.46.3_FA18.3..NH4",0.108198
"TAG.47.0_FA14.0..NH4",0.251017
