"","RSD"
"Adrenic.22.4..H",0.012875
"Arachidonic.20.4..H",0.013861
"CL..72.1_281.2..2H",0.051532
"CL..72.1_283.2..2H",0.107984
"CL..72.2_279.2..2H",0.067528
"CL..72.2_281.2..2H",0.061873
"CL..72.3_279.2..2H",0.030044
"CL..72.3_281.2..2H",0.038576
"CL..72.3_283.2..2H",0.141356
"CL..72.4_279.2..2H",0.046999
"CL..72.4_281.2..2H",0.069634
"CL..72.5_279.2..2H",0.018787
"CL..72.5_281.2..2H",0.029337
"CL..72.5_303.3..2H",0.188507
"CL..72.6_279.2..2H",0.035186
"CL..72.6_303.3..2H",0.05088
"CL..72.8_303.3..2H",0.035977
"DHA.22.6..H",0.013542
"DihomoLinolenic.20.3..H",0.00945
"Docosanoic.22.0..H",0.029793
"Docosenoic.22.1..H",0.068646
"Elaidic_Vaccenic.18.1..H",0.013575
"Hexacosanoic.26.0..H",0.026008
"Lauric.12.0..H",0.073199
"Lignoceric.24.0..H",0.015263
"Linolenic.18.2..H",0.014246
"LPC.14.0..AcO",0.033348
"LPC.15.0..AcO",0.054291
"LPC.16.0..AcO",0.015864
"LPC.16.1..AcO",0.017428
"LPC.17.0..AcO",0.038591
"LPC.18.0..AcO",0.015553
"LPC.18.1..AcO",0.012767
"LPC.18.2..AcO",0.010075
"LPC.18.3..AcO",0.069116
"LPC.19.0..AcO",0.167387
"LPC.20.0..AcO",0.167511
"LPC.20.1..AcO",0.091667
"LPC.20.2..AcO",0.044915
"LPC.20.3..AcO",0.027156
"LPC.20.4..AcO",0.035944
"LPC.20.5..AcO",0.141484
"LPC.22.4..AcO",0.180327
"LPC.22.5..AcO",0.103495
"LPC.22.6..AcO",0.155887
"LPE.14.0..H",0.286588
"LPE.16.0..H",0.021638
"LPE.16.1..H",0.088009
"LPE.17.0..H",0.101136
"LPE.18.0..H",0.019499
"LPE.18.1..H",0.02167
"LPE.18.2..H",0.020247
"LPE.18.3..H",0.062026
"LPE.20.1..H",0.112564
"LPE.20.2..H",0.093708
"LPE.20.3..H",0.040027
"LPE.20.4..H",0.028628
"LPE.22.4..H",0.096332
"LPE.22.5..H",0.073707
"LPE.22.6..H",0.100044
"LPG.16.0..H",0.124926
"LPG.17.0..H",0.316201
"LPG.18.0..H",0.092052
"LPG.18.1..H",0.099776
"LPG.18.2..H",0.168046
"LPI.16.0..H",0.051042
"LPI.16.1..H",0.051014
"LPI.18.0..H",0.024782
"LPI.18.1..H",0.018122
"LPI.18.2..H",0.022161
"LPI.20.3..H",0.064249
"LPI.20.4..H",0.031289
"Myristic.14.0..H",0.214523
"Myristoleic.14.1..H",0.124944
"Nervonic.24.1..H",0.015986
"Palmitic.16.0..H",0.013221
"PC.14.0_16.0..AcO",0.040872
"PC.14.0_16.1..AcO",0.095199
"PC.14.0_18.0..AcO",0.10994
"PC.14.0_18.1..AcO",0.041864
"PC.14.0_18.2..AcO",0.051831
"PC.14.0_20.3..AcO",0.148964
"PC.14.0_20.4..AcO",0.152917
"PC.15.0_16.0..AcO",0.105122
"PC.15.0_16.1..AcO",0.393154
"PC.15.0_18.1..AcO",0.07259
"PC.15.0_18.2..AcO",0.098719
"PC.15.0_20.3..AcO",0.248865
"PC.15.0_20.4..AcO",0.151163
"PC.16.0_16.0..AcO",0.015064
"PC.16.0_16.1..AcO",0.028924
"PC.16.0_17.0..AcO",0.172542
"PC.16.0_18.0..AcO",0.032085
"PC.16.0_18.1..AcO",0.019177
"PC.16.0_18.2..AcO",0.013711
"PC.16.0_18.3..AcO",0.044193
"PC.16.0_20.1..AcO",0.075366
"PC.16.0_20.2..AcO",0.019594
"PC.16.0_20.3..AcO",0.02325
"PC.16.0_20.4..AcO",0.018251
"PC.16.0_20.5..AcO",0.070436
"PC.16.0_22.4..AcO",0.069767
"PC.16.0_22.5..AcO",0.041819
"PC.16.0_22.6..AcO",0.04032
"PC.16.1_16.1..AcO",0.102606
"PC.16.1_18.0..AcO",0.072344
"PC.16.1_18.1..AcO",0.045841
"PC.16.1_18.2..AcO",0.076303
"PC.16.1_22.5..AcO",0.228947
"PC.17.0_18.1..AcO",0.137435
"PC.17.0_18.2..AcO",0.068107
"PC.17.0_20.0..AcO",0.064682
"PC.17.0_20.4..AcO",0.058051
"PC.18.0_18.0..AcO",0.045774
"PC.18.0_18.1..AcO",0.028387
"PC.18.0_18.2..AcO",0.019787
"PC.18.0_18.3..AcO",0.033313
"PC.18.0_20.1..AcO",0.105926
"PC.18.0_20.2..AcO",0.064262
"PC.18.0_20.3..AcO",0.023905
"PC.18.0_20.4..AcO",0.026171
"PC.18.0_20.5..AcO",0.021343
"PC.18.0_22.4..AcO",0.060703
"PC.18.0_22.5..AcO",0.051096
"PC.18.1_18.1..AcO",0.021619
"PC.18.1_18.2..AcO",0.019109
"PC.18.1_18.3..AcO",0.115234
"PC.18.1_20.1..AcO",0.253927
"PC.18.1_20.2..AcO",0.095094
"PC.18.1_20.3..AcO",0.03814
"PC.18.1_20.4..AcO",0.029356
"PC.18.1_20.5..AcO",0.128514
"PC.18.2_18.2..AcO",0.025287
"PC.18.2_18.3..AcO",0.209612
"PC.18.2_19.0..AcO",0.293545
